IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"52.214.88.230","*.quentrytest.com","","","","","*.quentrytest.com|quentrytest.com","","false"
"52.214.88.233","*.messaging.arlo.com","Arlo Technologies, Inc.","US","Milpitas","California","*.messaging.arlo.com|messaging.arlo.com","","false"
"52.214.88.236","*.telemetry.insights.video.a2z.com","","","","","*.telemetry.insights.video.a2z.com","","false"
"52.214.88.245","*.izettletest.com","","","","","*.izettletest.com|izettletest.com","","false"
"52.214.88.247","prod-paydestal.com","","","","","prod-paydestal.com|*.prod-paydestal.com","","false"
"52.214.88.246","sokkie-be.routescanner.com","","","","","sokkie-be.routescanner.com","","false"
"52.214.88.250","sharingbox.com","","","","","sharingbox.com|*.yodabooth.com|shb.io|*.ybh.io|photoboothactivation.com|ybh.io|*.sharingbox.com|*.photoboothactivation.com|yodabooth.com|*.shb.io","","false"
"52.214.88.252","*.coralogix.com","","","","","*.coralogix.com|coralogix.com","","false"
"52.214.89.1","*.portal.ptc.io","PTC","US","Needham","MA","","","true"
"52.214.88.255","machinelearning.horizoncloud.io","","","","","machinelearning.horizoncloud.io|*.alb.machinelearning.horizoncloud.io","","false"
"52.214.89.3","easymed.ai","","","","","easymed.ai|*.easymed.ai","","false"
"52.214.89.2","prod.babyshopgroup.io","","","","","prod.babyshopgroup.io|*.prod.babyshopgroup.io","","false"
"52.214.89.5","*.eu-west-1.cloudsearch.amazonaws.com","","","","","*.eu-west-1.cloudsearch.amazonaws.com","","false"
"52.214.89.24","sen-sentinelle-prd-ext-front-01.prd-sen.web-enedis.fr","","","","","sen-sentinelle-prd-ext-front-01.prd-sen.web-enedis.fr","","false"
"52.214.89.7","mtls-nonprod.motabilityoperations.co.uk","Motability Operations Limited","GB","London","","mtls-nonprod.motabilityoperations.co.uk","","false"
"52.214.89.28","stag.firefly.ai","","","","","stag.firefly.ai|*.stag.firefly.ai","","false"
"52.214.89.34","beta.lginform.local.gov.uk","","","","","beta.lginform.local.gov.uk|alpha.lginform.local.gov.uk|dev.lginform.esd.org.uk|*.beta.lginform.local.gov.uk|alpha.lginform.esd.org.uk|alpha.vfm.lginform.local.gov.uk|beta.vfm.lginform.local.gov.uk","","false"
"52.214.89.35","*.mq.eu-west-1.amazonaws.com","","","","","*.mq.eu-west-1.amazonaws.com","","false"
"52.214.89.39","*.nrs-prod.cognitosvc.com","","","","","*.nrs-prod.cognitosvc.com","","false"
"52.214.89.43","integrations.smartabase.com","","","","","integrations.smartabase.com|*.integrations.smartabase.com","","false"
"52.214.89.36","*.pegatsdemo.com","","","","","*.pegatsdemo.com","","false"
"52.214.89.46","docservices.sso.citcosoftware.com","","","","","docservices.sso.citcosoftware.com|docservices.citco.com","","false"
"52.214.89.47","*.hive.digital4danone.com","","","","","*.hive.digital4danone.com","","false"
"52.214.89.50","helix.affiniongroup.com","Trilegiant Corporation","US","Stamford","Connecticut","helix.affiniongroup.com|*.cuc.com|*.helix.affiniongroup.com|*.ie1.prod1.affiniongroup.com|*.ie1.prod1b.affiniongroup.com|*.ie1.prod1g.affiniongroup.com|*.int.production.cims.trilegiant.com","","false"
"52.214.89.57","kube-apiserver","","","","","08fb5f2768f429f6ae55a26344801262.gr7.eu-west-1.eks.amazonaws.com|ip-10-0-58-50.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|192.168.188.91|10.0.58.50","false"
"52.214.89.58","nlcas.online","","","","","nlcas.online","","false"
"52.214.89.61","*.cxengage.net","","","","","*.cxengage.net","","false"
"52.214.89.72","*.ups.softeon.com","","","","","*.ups.softeon.com","","false"
"52.214.89.75","virtual-poc.main.mcp-sandbox-1.mclarencloud.io","","","","","virtual-poc.main.mcp-sandbox-1.mclarencloud.io","","false"
"52.214.89.84","*.condenet.co.uk","","","","","*.condenet.co.uk|*.prod.cms.condenet.co.uk|*.cms.condenet.co.uk|*.prod.www.condenet.co.uk|*.hg.condenet.co.uk|*.four-oh-three.condenet.co.uk|*.staging.www.condenet.co.uk|*.staging.cms.condenet.co.uk|*.staging.api.condenet.co.uk|*.api.condenet.co.uk|*.prod.api.condenet.co.uk","","false"
"52.214.89.88","warehouse-proxy.prod.envs.lookiero.tech","","","","","warehouse-proxy.prod.envs.lookiero.tech","","false"
"52.214.89.99","wp.viasatcdn.com","","","","","wp.viasatcdn.com|*.u.wp.viasatcdn.com|*.oc.viasatcdn.com|*.wp.viasatcdn.com","","false"
"52.214.89.107","dnaboka-22628.rnd.deployer.dataiku.io","","","","","dnaboka-22628.rnd.deployer.dataiku.io|*.dnaboka-22628.rnd.deployer.dataiku.io","","false"
"52.214.89.116","api.delivery-status.rio.cloud","","","","","api.delivery-status.rio.cloud","","false"
"52.214.89.122","*.luz.fr","","","","","*.luz.fr|luz.fr","","false"
"52.214.89.126","data.userlist.community.theplatform.eu","","","","","data.userlist.community.theplatform.eu|data.userlist.community.aie-eks-1.eks.aie.theplatform.com","","false"
"52.214.89.129","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com","","false"
"52.214.89.131","*.mobicontrolcloud.com","","","","","*.mobicontrolcloud.com|mobicontrolcloud.com","","false"
"52.214.89.136","redmatter-stage.pub","","","","","redmatter-stage.pub|*.natterbox-stage.pub|natterbox-stage.pub|*.redmatter-stage.pub","","false"
"52.214.89.137","*.live.transfers.maginfrastructure.com","","","","","*.live.transfers.maginfrastructure.com","","false"
"52.214.89.144","andsmrib-eu-west-1.dev.api.morpheus.networking.aws.dev","","","","","andsmrib-eu-west-1.dev.api.morpheus.networking.aws.dev","","false"
"52.214.89.155","*.xtremepush.com","","","","","*.xtremepush.com","","false"
"52.214.89.161","api.generic.cloudprinter.com","","","","","api.generic.cloudprinter.com","","false"
"52.214.89.175","webservices-isi.ventespap.pro.engie.fr","","","","","webservices-isi.ventespap.pro.engie.fr","","false"
"52.214.89.177","isa.sps.copyright.com","","","","","isa.sps.copyright.com|*.isa.sps.copyright.com","","false"
"52.214.89.180","*.dalkiaelectrotechnics.fr","Dalkia SA","FR","SAINT-ANDRÉ-LEZ-LILLE","","*.dalkiaelectrotechnics.fr","","false"
